,Longitude,Latitude,cluster,centroids
183,78.7058833,13.25905,0,0
184,78.755005,13.24449,0,0
185,78.7056717,13.2605217,0,0
186,78.6795933,13.2257566,0,0
187,78.707125,13.2578833,0,0
188,78.7288567,13.2327033,0,0
189,78.7098217,13.2323017,0,0
190,78.728795,13.2327167,0,0
191,78.7081717,13.2318517,0,0
192,78.709885,13.2323267,0,0
193,78.7174683,13.252625,0,0
194,78.7178,13.2536667,0,0
195,78.7172567,13.252615,0,0
196,78.6365466,13.1839983,0,0
197,78.6393766,13.183105,0,0
198,78.637185,13.1835716,0,0
199,78.6372416,13.183635,0,0
200,78.68614,13.22393,0,0
201,78.739955,13.24702,0,0
202,78.6372433,13.18359,0,0
203,78.747985,13.2179833,0,0
204,78.7176983,13.2536467,0,0
205,78.7233567,13.2497167,0,0
206,78.641515,13.1845833,0,0
207,78.637265,13.183615,0,0
208,78.6420633,13.1824683,0,0
209,78.6371933,13.1835633,0,0
210,78.641285,13.1822867,0,0
211,78.68624,13.224095,0,0
212,78.6907433,13.2321033,0,0
213,78.6861117,13.2239133,0,0
214,78.7215333,13.2695283,0,0
215,78.723275,13.2496867,0,0
216,78.7191417,13.2693983,0,0
217,78.7270183,13.2600966,0,0
218,78.7269783,13.25963,0,0
219,78.7269617,13.2600933,0,0
220,78.719175,13.2693433,0,0
221,78.7214667,13.2694983,0,0
222,78.7480133,13.21801,0,0
223,78.756755,13.2424367,0,0
224,78.7408816,13.247555,0,0
225,78.738035,13.2423066,0,0
226,78.7400383,13.2470217,0,0
227,78.740875,13.2475683,0,0
228,78.7409667,13.24751,0,0
229,78.74014,13.24726,0,0
230,78.7555467,13.2430667,0,0
231,78.731545,13.2523449,0,0
232,78.7307116,13.2533549,0,0
233,78.7567067,13.24242,0,0
234,78.7306483,13.2533316,0,0
235,78.7320166,13.25225,0,0
236,78.342135,12.858175,0,0
237,78.7306399,13.2533433,0,0
238,78.34037,12.8562067,0,0
239,78.7315883,13.2523317,0,0
240,78.775385,13.2383017,0,0
241,78.7737883,13.2374833,0,0
242,78.7555917,13.2430483,0,0
243,78.7753683,13.2382533,0,0
244,78.7370533,13.241,0,0
245,78.741215,13.24692,0,0
246,78.7369666,13.2410199,0,0
247,78.7644983,13.2434466,0,0
248,78.7553499,13.2145883,0,0
249,78.6376333,13.1833917,0,0
250,78.63726,13.1836017,0,0
251,78.764905,13.2422266,0,0
252,78.7645483,13.2433799,0,0
253,78.7647733,13.242135,0,0
254,78.76444,13.2433433,0,0
255,78.6365067,13.1835117,0,0
256,78.764915,13.24223,0,0
257,78.7747517,13.2236383,0,0
258,78.7587499,13.1058466,0,0
259,78.82483,13.222135,0,0
260,78.8243299,13.2218383,0,0
261,78.8242466,13.2216366,0,0
262,78.7624066,13.1182533,0,0
263,78.75871,13.1058883,0,0
264,78.6557633,13.1477016,0,0
265,78.6550716,13.1483599,0,0
266,78.6611083,13.1476016,0,0
267,78.65574,13.1476966,0,0
268,78.65489,13.148085,0,0
269,78.692305,13.151405,0,0
270,78.6746133,13.1584166,0,0
271,78.674645,13.1581683,0,0
272,78.65505,13.1484383,0,0
273,78.6556666,13.1477316,0,0
274,78.6745866,13.1584216,0,0
275,78.674605,13.1581433,0,0
276,78.6615216,13.1472516,0,0
277,78.65506,13.1483833,0,0
278,78.6615216,13.1472516,0,0
279,78.6615083,13.1473866,0,0
280,78.6548749,13.1480966,0,0
281,78.6746316,13.1581833,0,0
282,78.6871617,14.87904,0,0
283,82.4588583,17.8024183,12,0
284,77.448535,15.0995,0,0
285,83.6908499,18.23163,13,0
286,80.4379567,16.81819,1,0
287,83.076085,17.6232917,15,0
288,83.6864516,18.2259883,13,0
289,83.3832433,18.7689216,12,0
290,83.6859633,18.2250199,13,0
291,83.076085,17.6232917,15,0
292,79.0935967,13.0425033,0,0
293,83.7977333,18.221435,13,0
294,83.6867483,18.2267116,13,0
295,83.3669299,18.7712283,12,0
296,78.1639928,13.6848621,0,0
297,83.3649933,18.782665,12,0
298,82.58355,17.3069767,2,1
299,77.4264667,15.7969617,0,0
300,81.35709,16.5055083,1,0
301,78.4811317,13.6486633,0,0
302,78.5026667,13.7091933,0,0
303,83.342095,17.9211183,13,0
304,77.4460983,15.7959967,0,0
305,77.5181417,15.0171033,0,0
306,81.06915,16.3209367,1,0
307,77.7038733,14.6244133,0,0
308,80.4509417,16.99611,1,0
309,81.0656217,16.3457417,1,0
310,79.4852583,14.3307317,0,0
311,79.3895067,14.4235283,0,0
312,81.0338483,16.0633333,0,0
313,79.3893133,14.4239817,0,0
314,81.0555817,16.0551233,0,0
315,83.8942983,18.5198267,13,0
316,77.9761267,14.3973717,0,0
317,79.3915917,14.46304,0,0
318,77.7011417,14.9357533,0,0
319,77.9756033,14.3971633,0,0
320,83.30459,18.634195,12,0
321,77.9378917,14.40452,0,0
322,77.6539017,14.60162,0,0
323,82.26152913,16.63311966,4,0
324,82.26471986,16.63189104,4,0
325,82.26457645,16.63048394,4,0
326,78.01686,15.07415,0,0
327,77.6543383,14.6014333,0,0
328,77.6664183,15.0526633,0,0
329,78.0203967,15.0781067,0,0
330,80.4637733,17.0000317,1,0
